Category,Item_Variant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
Sparkling Soda,Peach Sparkling Soda,0,0,0,0,0,0.09,0,0.08,0.2,0,0,0.08,0.08,0,0.08,0
Sparkling Soda,Red and Blue Sparkling,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.66,0.24
Sparkling Soda,Soda Ceria,0,0.28,0.67,0.41,0.08,0.19,0.2,0.08,0.2,0,0.17,0.08,0.08,0,0,0.12
Sparkling Soda,Soda Gembira,0,0,0,0,0.25,0.19,0.4,0.31,0.3,0.32,0.17,0.16,0.16,0,0,0
Sparkling Soda,Sparkling Sunset,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.15,0.17,0.61
Sparkling Soda,Strawberry Smoothies,0.09,0.09,0.11,0.1,0,0.09,0.2,0.08,0,0,0,0,0,0,0,0
Sparkling Soda,Strawberry Float,0,0,0,0,0.08,0.09,0.1,0.15,0,0,0.08,0,0,0,0,0
Special Today,Beef Burger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.12
Special Today,Chicken Burger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.61
Special Today,Ikan Goreng Sambal Mangga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0
Special Today,Nasi Ayam Kremes,0,0,0.11,6.39,0.9,1.7,2.9,2.23,2.96,2.37,2.79,2.33,1.81,1.77,1.4,2.43
Special Today,Nasi Ayam Kremes Eatopia Inc Air Mineral,2.44,1.66,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Today,Nasi Ayam Sambal Matah,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,2.23,3.16
Special Today,Paket Nasi Ayam Kremes Eatopia Inc Air Mineral,0,0,0.45,2.33,2.3,0.47,0,0,0,0,0,0,0,0,0,0
Special Today,PaketLunch RB Chicken BBQ,0,0,0,0,0,0,0,0,0,0.39,0.34,0,0,0,0,0
Special Today,PaketLunch RB Chicken Chops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
Special Today,PaketLunch RB Chicken Katsu,0,0,0,0,0,0,0,0,0,0.24,0.51,0,0.08,0.37,0,0
Special Today,PaketLunch RB Chicken Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
Special Today,PaketLunch RB Teriyaki,0,0,0,0,0,0,0,0,0,0.32,0.25,0.08,0.08,0,0,0
Tea,Ice Eatopia Tea,1.48,0.83,0.45,1.01,0.16,0.09,0.3,0.38,0.2,0.16,0.17,0.16,0.16,0,0,0
Tea,Lemon Tea,1.74,1.93,2.01,2.03,2.22,2.35,1.4,0.99,0.88,1.82,0.93,1.63,0.71,1.11,0.82,0.97
Tea,Lychee Tea,2.01,2.02,2.23,2.23,2.55,0.85,3.5,1.38,1.08,1.42,1.77,1.16,0.71,1.11,1.07,0.49
Tea,Peach Tea,0.17,0.18,0.22,0.41,0.33,0.28,0.3,0.23,0.1,0.08,0.08,0,0,0.15,0.17,0
Tea,Regular Tea,13.08,9.85,9.59,10.85,12.42,12.63,11.8,8.36,12.32,13.51,15.28,10.64,13.47,13.66,12.73,16.63
Tea,Premium Tea,0.78,0.46,0.89,0.81,0.66,1.7,0.5,0.69,1.08,0.47,0.25,0.47,0.32,0.44,0.66,0.85
Tea,Strawberry Tea,0,0.37,0.33,0,0.16,0.19,0,0.23,0.2,0.16,0.17,0.08,0.08,0,0,0.12
Toko Bu Dewi,Air Mineral,6.54,8.1,9.36,7.3,7.81,9.9,9.9,9.59,9.75,7.66,7.85,7.3,8.2,8.2,9.26,9.47
Toko Bu Dewi,Camel Putih,0.09,0,0,0,0.08,0.09,0,0,0,0.08,0,0,0.08,0,0,0.12
Toko Bu Dewi,Chitato KRIPZ,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0
Toko Bu Dewi,Chitato Sapi Bumbu Bakar,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toko Bu Dewi,Chitato Sapi Panggang,0.09,0.09,0,0,0,0.28,0.1,0,0,0.08,0,0,0,0,0,0
Toko Bu Dewi,Djarum Super,0.09,0,0.22,0.1,0,0,0.2,0.08,0.1,0,0,0.08,0.08,0.22,0.25,0
Toko Bu Dewi,Dji Sam Soe,0.09,0,0,0.1,0,0.09,0.1,0,0,0,0,0,0,0,0,0
Toko Bu Dewi,Dunhill Putih,0,0.09,0.11,0,0.25,0,0,0,0,0,0,0,0.08,0.15,0,0
Toko Bu Dewi,Gudang Garam Filter,0.17,0.18,0.11,0.1,0.08,0,0.2,0,0,0.16,0,0.23,0.32,0.37,0,0.12
Toko Bu Dewi,Happy Tos,0,0.09,0,0.1,0,0,0,0,0,0.08,0,0,0,0,0,0
Toko Bu Dewi,Happy Tos Tortilla Chips,0,0,0,0,0,0,0,0.08,0.3,0.08,0.17,0.08,0,0,0,0
Toko Bu Dewi,Kacang Atom Garuda,0,0,0,0,0.41,0.09,0.2,0.08,0.2,0.24,0.08,0.47,0.08,0.44,0.74,1.21
Toko Bu Dewi,Kerupuk Kecil,0,0.09,0,0,0.25,0.09,0,0,0,0,0.08,0,0.16,0.15,0.83,0.85
Toko Bu Dewi,Korek,0.09,0.09,0,0.1,0.25,0,0.4,0.31,0.2,0.16,0.08,0.23,0.16,0.07,0.25,0.12
Toko Bu Dewi,Kusuka Keripik Emping Ori,0.09,0.18,0,0,0,0,0.3,0.08,0.1,0,0,0.16,0.32,0,0,0
Toko Bu Dewi,Marlboro Merah,0.09,0.37,0.11,0,0.33,0.19,0.4,0.15,0.2,0,0.17,0,0,0.15,0.41,0.36
Toko Bu Dewi,Marlboro Putih,0.26,0.18,0.22,0.2,0.16,0.09,0.2,0.38,0.2,0.08,0.08,0.23,0,0.3,0.33,0.12
Toko Bu Dewi,Oishi Pillow Coklat,0,0.09,0,0,0.08,0,0,0.08,0,0.08,0,0,0,0,0,0
Toko Bu Dewi,Oishi Sponge Coklat,0,0,0.11,0,0,0.09,0,0,0,0,0.08,0.08,0,0,0,0
Toko Bu Dewi,Piattos Barbeque,0,0.18,0,0,0.08,0,0.1,0,0,0,0,0,0,0,0,0
Toko Bu Dewi,Piattos Sapi Panggang,0.09,0.09,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0
Toko Bu Dewi,Qtela Singkong,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toko Bu Dewi,Sampoerna Mild,0.87,0.83,1,0.81,0.66,0.75,0.9,0.46,0.79,0.87,0.25,1.01,0.79,0.44,0.74,1.21
Toko Bu Dewi,Sea Crunch,0,0,0,0,0,0,0.1,0.15,0.39,0.08,0.08,0.08,0,0,0,0
Toko Bu Dewi,Smax Ring Cheese,0,0.09,0.33,0.3,0.08,0,0,0.08,0,0,0,0,0,0,0,0
Toko Bu Dewi,Sosis Solo,0,0,0.89,0.71,0.16,0.38,0.5,0.08,0.2,0.39,0.84,0.54,0.32,0.3,0.17,0.12
Toko Bu Dewi,Teh Pucuk,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toko Bu Dewi,Tortilla Chips Grilled Beef,0,0,0.11,0.1,0,0,0,0,0,0,0,0,0,0,0,0
